id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
rasjonal-funksjon-begrep,begrep,Grenseverdier og kontinuitet,Rasjonal funksjon,"Eleven vet at en rasjonal funksjon er en funksjon som er kvotienten (brøken) mellom to polynomer, og at et polynom er et uttrykk bygd opp av en sum av ledd, hver på formen en koeffisient multiplisert med en potens av x.",,del1,
finne-grenseverdi-uendelig,ferdighet,Grenseverdier og kontinuitet,Finne grenseverdien til en rasjonal funksjon når x går mot uendelig,"Eleven kan bestemme grenseverdien til en rasjonal funksjon når x går mot uendelig, ved å dividere teller og nevner på høyeste potens av x som forekommer.",grenseverdi-begrep;rasjonal-funksjon-begrep,del1,"Gi eleven en rasjonal funksjon (kvotient av to polynomer) og be dem bestemme grenseverdien når x går mot uendelig, for hånd, ved å dividere teller og nevner på høyeste potens av x."
finne-grenseverdi-null-null,ferdighet,Grenseverdier og kontinuitet,Finne grenseverdien i et opphevbart bruddpunkt (0/0),"Eleven kan bestemme grenseverdien til en rasjonal funksjon i et punkt der både teller og nevner er null, ved å faktorisere teller og nevner og forkorte den felles faktoren før grenseverdien regnes ut.",grenseverdi-begrep;rasjonal-funksjon-begrep,del1,"Gi eleven en rasjonal funksjon og et punkt der direkte innsetting gir 0/0, og be dem faktorisere teller og nevner, forkorte den felles faktoren, og regne ut grenseverdien, for hånd."
bestemme-parameter-grenseverdi-eksisterer,ferdighet,Grenseverdier og kontinuitet,Bestemme en ukjent parameter slik at en grenseverdi eksisterer,"Eleven kan bestemme en ukjent koeffisient i en rasjonal funksjon slik at grenseverdien i et gitt punkt eksisterer (dvs. at telleren også blir null der nevneren blir null), og deretter regne ut selve grenseverdien.",finne-grenseverdi-null-null;rasjonal-funksjon-begrep,del1,"Gi eleven en rasjonal funksjon med en ukjent parameter i telleren og et punkt der nevneren er null, og be dem bestemme parameteren slik at grenseverdien i punktet eksisterer, og deretter regne ut grenseverdien for denne parameterverdien."
kontinuitet-begrep,begrep,Grenseverdier og kontinuitet,Kontinuitet,"Eleven vet at en funksjon er kontinuerlig i et punkt når grenseverdien fra venstre, grenseverdien fra høyre og funksjonsverdien i punktet alle er like, og forstår kontinuitet som fravær av hopp eller hull i grafen.",grenseverdi-begrep,del1,
delt-forskrift-begrep,begrep,Grenseverdier og kontinuitet,Delt forskrift,"Eleven vet at en funksjon med delt forskrift er definert ved ulike formler på ulike deler av definisjonsområdet, med grenser som angir hvilken formel som gjelder hvor.",,del1,
avgjore-kontinuitet-punkt,ferdighet,Grenseverdier og kontinuitet,Avgjøre om en funksjon med delt forskrift er kontinuerlig i et punkt,"Eleven kan avgjøre om en funksjon gitt med delt forskrift er kontinuerlig i grensepunktet mellom to av delene, ved å sammenligne grenseverdien fra venstre, grenseverdien fra høyre og funksjonsverdien i punktet.",kontinuitet-begrep;delt-forskrift-begrep,del2,"Gi eleven en funksjon med delt forskrift og et grensepunkt mellom to av delene, og be dem avgjøre om funksjonen er kontinuerlig der ved å regne ut grenseverdien fra venstre, fra høyre, og funksjonsverdien, og sammenligne."
bestemme-parameter-kontinuitet,ferdighet,Grenseverdier og kontinuitet,Bestemme en ukjent grense slik at en delt funksjon blir kontinuerlig,Eleven kan bestemme en ukjent parameter k (som styrer hvor overgangen mellom to deler av en delt forskrift skjer) slik at funksjonen blir kontinuerlig i x = k.,avgjore-kontinuitet-punkt;delt-forskrift-begrep,del2,"Gi eleven en funksjon med delt forskrift der en av grensene mellom delene er en ukjent k, og be dem bestemme k slik at funksjonen blir kontinuerlig i x = k, ved å sette de to relevante delene av forskriften lik hverandre."
modellere-diskontinuerlig-funksjon-praktisk,ferdighet,Grenseverdier og kontinuitet,Sette opp og begrunne en praktisk delt funksjon,"Eleven kan, ut fra en tekstbeskrivelse av en praktisk ordning med en terskelverdi (f.eks. en støtteordning som slår inn over en viss pris), forklare hvorfor en funksjon som modellerer situasjonen må ha delt forskrift, argumentere for hvorfor den bør være kontinuerlig, og sette opp funksjonsuttrykket.",avgjore-kontinuitet-punkt;delt-forskrift-begrep,del2,"Gi eleven en tekstbeskrivelse av en praktisk ordning med en terskelverdi (f.eks. en strømstønad som dekker en andel av prisen over en gitt grense), og be dem forklare hvorfor en funksjon som beskriver situasjonen må ha delt forskrift og hvorfor den bør være kontinuerlig, samt sette opp funksjonsuttrykket."
tangent-begrep,begrep,Derivasjon,Tangent,"Eleven vet at en tangent er den rette linjen som berører grafen til en funksjon i ett punkt, og at stigningstallet til tangenten i punktet er lik den momentane vekstfarten (den deriverte) der.",,del1,
vekstfart-begrep,begrep,Derivasjon,Gjennomsnittlig og momentan vekstfart,"Eleven forstår at gjennomsnittlig vekstfart over et intervall er stigningstallet til sekanten mellom endepunktene, mens momentan vekstfart i et punkt er stigningstallet til tangenten der − og at momentan vekstfart er grenseverdien av gjennomsnittlig vekstfart når intervallet krymper mot null.",grenseverdi-begrep;tangent-begrep,begge,
lese-vekstfart-fra-graf,ferdighet,Derivasjon,Lese av gjennomsnittlig og momentan vekstfart fra en graf,"Eleven kan bestemme gjennomsnittlig vekstfart over et intervall og momentan vekstfart i et punkt direkte fra en graf, ved å lese av koordinater og anslå stigningstallet til sekanten eller tangenten.",vekstfart-begrep;tangent-begrep,del1,"Vis eleven en graf med tydelige rutenett og be dem bestemme gjennomsnittlig vekstfart over et gitt intervall (les av endepunktene og regn ut stigningstallet til sekanten), og momentan vekstfart i ett eller flere enkeltpunkter (anslå tangentens stigningstall, f.eks. ved å bruke at grafen har et topp- eller bunnpunkt der)."
differansekvotient-begrep,begrep,Derivasjon,Differansekvotient,"Eleven vet at differansekvotienten (f(x+h) − f(x))/h er det formelle uttrykket for sekantens stigningstall, og at den deriverte er grenseverdien av differansekvotienten når h går mot null.",vekstfart-begrep,del1,
derivasjonsregler-basis-begrep,begrep,Derivasjon,Den deriverte som grenseverdi og grunnleggende deriverte,"Eleven vet at den deriverte f'(x) er definert som grenseverdien av differansekvotienten når intervallet krymper mot null, og kjenner de grunnleggende derivasjonsreglene for potensfunksjoner og summer/differanser av funksjoner.",grenseverdi-begrep;vekstfart-begrep;differansekvotient-begrep,del1,
derivere-potens-og-sum,ferdighet,Derivasjon,"Derivere potensuttrykk, rotuttrykk og summer","Eleven kan derivere funksjoner satt sammen av potensledd (inkludert negative og brøkeksponenter/røtter) og enkle rasjonale ledd med lineær nevner, for hånd.",derivasjonsregler-basis-begrep,del1,"Gi eleven en funksjon satt sammen av flere ledd − potenser, en rot og/eller et rasjonalt ledd med lineær nevner (f.eks. f(x) = ⅓x³ + √x + 2, eller g(x) = 3x² − 5 + 3/(x−2)) − og be dem derivere den for hånd, ledd for ledd."
produktregel-begrep,begrep,Derivasjon,Produktregelen,Eleven kjenner produktregelen for derivasjon: den deriverte av f(x)·g(x) er f'(x)·g(x) + f(x)·g'(x).,derivasjonsregler-basis-begrep,del1,
kvotientregel-begrep,begrep,Derivasjon,Kvotientregelen,"Eleven kjenner kvotientregelen for derivasjon: den deriverte av f(x)/g(x) er (f'(x)·g(x) − f(x)·g'(x)) / g(x)², og vet at en kvotient alternativt kan skrives om og deriveres med produktregelen.",derivasjonsregler-basis-begrep,del1,
derivere-produkt-og-kvotient,ferdighet,Derivasjon,Derivere produkt og kvotient av funksjoner,"Eleven kan derivere en funksjon satt sammen som et produkt eller en kvotient av to enklere funksjoner, ved å bruke produktregelen eller kvotientregelen.",produktregel-begrep;kvotientregel-begrep;derivere-potens-og-sum,del1,"Gi eleven en funksjon som er et produkt eller en kvotient av to enklere funksjoner (f.eks. g(x) = (2x−3)/e^x eller f(x) = 4x²·ln x), og be dem derivere den for hånd med produkt- eller kvotientregelen, og vise hvert steg."
kjerneregel-begrep,begrep,Derivasjon,Kjerneregelen,Eleven kjenner kjerneregelen for derivasjon av sammensatte funksjoner: den deriverte av en ytre funksjon anvendt på en indre funksjon er (ytre)'(indre) multiplisert med den deriverte av den indre funksjonen.,derivasjonsregler-basis-begrep,del1,
derivere-sammensatt-funksjon,ferdighet,Derivasjon,Derivere en sammensatt potensfunksjon med kjerneregelen,"Eleven kan derivere en sammensatt funksjon på formen (uttrykk)^n ved å bruke kjerneregelen, og identifisere riktig ytre og indre funksjon.",kjerneregel-begrep;derivere-potens-og-sum,del1,"Gi eleven en sammensatt funksjon på formen (uttrykk)^n, der uttrykket inni er noe mer enn bare x (f.eks. h(x) = (3x+2)³), og be dem identifisere ytre og indre funksjon og derivere med kjerneregelen, for hånd."
derivere-eksponential-og-logaritme,ferdighet,Derivasjon,Derivere eksponential- og logaritmefunksjoner,"Eleven kan derivere funksjoner som inneholder e^x, e^(uttrykk), ln x eller ln(uttrykk), ved å kombinere kjerneregelen med at den deriverte av e^x er e^x og den deriverte av ln x er 1/x.",derivere-sammensatt-funksjon,del1,"Gi eleven en funksjon som inneholder e^x eller ln x, gjerne med et sammensatt uttrykk i eksponenten eller inni logaritmen (f.eks. f(x) = e^x(6 − e^x) eller h(x) = ln(3x)), og be dem derivere den for hånd og eventuelt vise/bevise et oppgitt uttrykk for den deriverte."
fortegnsskjema-begrep,begrep,Derivasjon,Fortegnsskjema for den deriverte,"Eleven vet at fortegnet til f'(x) forteller om f er voksende (f'(x) > 0) eller avtakende (f'(x) < 0) i et intervall, og at et fortegnsskjema for f' brukes til å kartlegge dette over hele definisjonsområdet.",derivasjonsregler-basis-begrep,del1,
topp-bunnpunkt-begrep,begrep,Derivasjon,Topp- og bunnpunkt,"Eleven vet at et toppunkt er et lokalt maksimum og et bunnpunkt er et lokalt minimum på grafen til en funksjon − et punkt der funksjonen slutter å vokse og begynner å avta, eller omvendt.",fortegnsskjema-begrep,del1,
bestemme-topp-bunnpunkt,ferdighet,Derivasjon,Bestemme og klassifisere topp- og bunnpunkt,"Eleven kan finne eventuelle topp- og bunnpunkt på grafen til en funksjon ved å løse f'(x) = 0, og avgjøre om hvert punkt er et topp- eller bunnpunkt ved hjelp av et fortegnsskjema for f'.",derivere-eksponential-og-logaritme;derivere-produkt-og-kvotient;fortegnsskjema-begrep;topp-bunnpunkt-begrep,del1,"Gi eleven en funksjon (som krever kjerne-, produkt- eller kvotientregelen å derivere) og be dem finne eventuelle topp- og bunnpunkt på grafen, ved å løse f'(x) = 0, sette opp et fortegnsskjema, og avgjøre punkttype."
potensmodell-regresjon,ferdighet,Derivasjon: modellering og optimering,Bestemme og bruke en potensmodell fra en tabell,"Eleven kan bruke digitalt verktøy (regresjon) til å bestemme konstantene a og b i en potensmodell V(x) = a·x^b ut fra en tabell med sammenhørende måledata, og bruke egenskapen at en dobling av x multipliserer modellverdien med 2^b.",potensregler-begrep,del2,"Gi eleven en tabell med sammenhørende måledata (f.eks. radius og volum for en serie gjenstander) og be dem bruke digitalt verktøy til å bestemme en potensmodell V(x) = a·x^b som passer dataene, og deretter bruke modellen til å svare på et spørsmål om hva som skjer når x dobles."
eksponentialmodell-regresjon,ferdighet,Derivasjon: modellering og optimering,Bestemme en eksponentialmodell fra en tabell,Eleven kan bruke digitalt verktøy (regresjon) til å bestemme konstantene a og b i en eksponentiell modell F(t) = a·b^t ut fra en tabell med sammenhørende måledata.,,del2,Gi eleven en tabell med sammenhørende måledata over tid (f.eks. et folketall på ulike tidspunkt) og be dem bruke digitalt verktøy til å bestemme en eksponentiell modell F(t) = a·b^t som passer dataene.
vurdere-modell-gyldighetsomrade,ferdighet,Derivasjon: modellering og optimering,Vurdere gyldighetsområdet til en modell,"Eleven kan vurdere hvilket intervall av x-verdier en modell (regresjonsmodell eller annen matematisk modell av et reelt datasett) med rimelighet kan brukes for, og begrunne hvorfor modellen ikke nødvendigvis er gyldig langt utenfor de observerte dataene.",potensmodell-regresjon;eksponentialmodell-regresjon,del2,"Gi eleven en regresjonsmodell bestemt ut fra et datasett med en gitt tidsperiode eller et gitt intervall, og be dem vurdere og begrunne hvilket gyldighetsområde modellen med rimelighet har, og hva som kan gå galt ved å bruke den langt utenfor dette området."
tolke-derivert-praktisk,ferdighet,Derivasjon: modellering og optimering,Tolke den deriverte av en modell praktisk,"Eleven kan derivere en modell av et reelt datasett i et gitt punkt, og gi en praktisk tolkning av tallverdien og fortegnet til den deriverte i konteksten modellen beskriver.",derivere-eksponential-og-logaritme;derivere-produkt-og-kvotient;potensmodell-regresjon;eksponentialmodell-regresjon,del2,"Gi eleven en modell (potens- eller eksponentialmodell) av en reell sammenheng og et bestemt punkt, og be dem regne ut den deriverte i dette punktet og gi en praktisk tolkning av tallverdien − f.eks. hvor fort en størrelse endrer seg akkurat der, med riktig benevning."
sammenligne-momentan-gjennomsnittlig-vekst-modell,ferdighet,Derivasjon: modellering og optimering,Sammenligne momentan og gjennomsnittlig vekst i en modell,"Eleven kan, for en modell av et reelt datasett, bestemme når den momentane vekstfarten (den deriverte) overstiger en gitt terskel, og separat bestemme når den gjennomsnittlige veksten fra et startpunkt overstiger den samme terskelen − og forklare hvorfor disse to tidspunktene ikke er like.",tolke-derivert-praktisk;lese-vekstfart-fra-graf,del2,"Gi eleven en vekstmodell (f.eks. en eksponentiell befolkningsmodell) og en terskelverdi for vekstfart, og be dem finne både når den momentane veksten (den deriverte) først overstiger terskelen, og hvor mange år det tar før den gjennomsnittlige veksten fra starttidspunktet overstiger samme terskel − og forklare hvorfor svarene er forskjellige."
optimere-areal-under-kurve,ferdighet,Derivasjon: modellering og optimering,Optimere arealet av en figur avgrenset av en graf,"Eleven kan sette opp et uttrykk for arealet av et rektangel (eller annen figur) der ett hjørne ligger på grafen til en gitt funksjon, og bruke derivasjon til å bestemme det største (eller minste) mulige arealet.",bestemme-topp-bunnpunkt;derivere-eksponential-og-logaritme;topp-bunnpunkt-begrep,del2,"Vis eleven en figur der et rektangel er avgrenset av aksene, en gitt funksjonsgraf og en gitt grenselinje, med ett hjørne på grafen i punktet (a, f(a)), og be dem uttrykke sidelengdene ved a, sette opp et arealuttrykk, og bruke derivasjon til å finne det største mulige arealet."
optimere-okonomisk-modell,ferdighet,Derivasjon: modellering og optimering,"Optimere en økonomisk modell (overskudd, kostnad eller pris)","Eleven kan sette opp et uttrykk for overskudd (inntekt minus kostnad) ut fra en kostnadsfunksjon og en salgspris, bruke derivasjon til å finne det største overskuddet, og løse tilsvarende problemer om laveste pris som unngår underskudd.",bestemme-topp-bunnpunkt;topp-bunnpunkt-begrep,del2,"Gi eleven en kostnadsfunksjon K(x) og en salgspris per enhet, og be dem sette opp et uttrykk for overskuddet og bruke derivasjon til å finne det største mulige overskuddet − eller, gitt et fast antall solgte enheter, finne den laveste prisen som unngår underskudd."
selvstendig-analyse-reelt-datasett,ferdighet,Derivasjon: modellering og optimering,Planlegge og gjennomføre en selvstendig analyse av et reelt datasett,"Eleven kan planlegge og gjennomføre et selvstendig arbeid med et reelt datasett knyttet til et samfunnsøkonomisk tema, velge en egnet modell, bruke derivasjon til å analysere modellen, og presentere og kritisk vurdere funnene.",vurdere-modell-gyldighetsomrade;tolke-derivert-praktisk,del2,"Gi eleven (eller be eleven finne) et reelt, samfunnsøkonomisk datasett (f.eks. offentlig statistikk om priser, lønn, befolkning eller forbruk), og veiled dem gjennom å velge en egnet modell, tilpasse den til dataene, bruke derivasjon til å analysere modellen, og presentere funnene med en kritisk vurdering av modellens begrensninger."
multiplikasjonsprinsippet-begrep,begrep,Kombinatorikk,Multiplikasjonsprinsippet,"Eleven vet at hvis en handling består av flere uavhengige valg etter hverandre, er det totale antallet muligheter lik produktet av antallet muligheter i hvert valg.",,del1,
ordnet-utvalg-begrep,begrep,Kombinatorikk,Ordnet utvalg (permutasjoner),"Eleven vet at et ordnet utvalg er et utvalg der rekkefølgen har betydning, og kjenner formlene for antall permutasjoner med og uten repetisjon.",multiplikasjonsprinsippet-begrep,del1,
uordnet-utvalg-begrep,begrep,Kombinatorikk,Uordnet utvalg (kombinasjoner),"Eleven vet at et uordnet utvalg er et utvalg der rekkefølgen ikke har betydning, og kjenner formelen for antall kombinasjoner (n over k, ofte kalt nCr) når k elementer velges ut blant n.",multiplikasjonsprinsippet-begrep,del1,
telle-med-multiplikasjonsprinsippet,ferdighet,Kombinatorikk,Telle utfall steg for steg med multiplikasjonsprinsippet,Eleven kan telle antall mulige utfall i en sammensatt situasjon (f.eks. et passord med flere posisjoner) ved å dele opp i uavhengige steg og multiplisere antallet muligheter i hvert steg.,multiplikasjonsprinsippet-begrep,del1,"Gi eleven en situasjon med flere posisjoner eller steg som skal fylles etter gitte regler (f.eks. et passord med et bestemt antall tegn fra ulike tegnsett), og be dem telle det totale antallet muligheter ved å dele opp i steg og multiplisere."
telle-ordnet-utvalg-restriksjoner,ferdighet,Kombinatorikk,Telle ordnede utvalg med restriksjoner,Eleven kan telle antall ordnede utvalg (f.eks. passord) der noen posisjoner har bestemte krav (f.eks. må være en bokstav) og andre posisjoner må være innbyrdes ulike (uten repetisjon).,ordnet-utvalg-begrep;telle-med-multiplikasjonsprinsippet,del1,"Gi eleven en oppgave om et passord eller en kode med flere posisjoner, der én eller flere posisjoner har et bestemt krav og to eller flere andre posisjoner må ha ulikt innhold (uten repetisjon), og be dem telle antall muligheter for hånd."
telle-uordnet-utvalg-nCr,ferdighet,Kombinatorikk,Regne ut og bruke antall kombinasjoner (n over k),"Eleven kan regne ut antall måter å velge ut k elementer blant n (n over k, nCr), og bruke dette til å sammenligne størrelsen på ulike utvalgsstørrelser eller telle antall mulige grupper.",uordnet-utvalg-begrep,del1,"Gi eleven en situasjon der en gruppe på n personer eller elementer skal velges ut i en undergruppe på k, og be dem regne ut antall mulige undergrupper − eventuelt sammenligne antallet for to ulike verdier av k og avgjøre om en påstand om hvilken som er størst, stemmer."
telle-med-komplement,ferdighet,Kombinatorikk,Telle med komplement (minst én av en type),Eleven kan telle antall utfall som oppfyller et «minst én»-krav (f.eks. et passord som må inneholde minst én bokstav og minst ett siffer) ved å telle komplementet (utfall som ikke oppfyller kravet) og trekke fra totalen.,telle-med-multiplikasjonsprinsippet,del1,"Gi eleven en situasjon med et «minst én»-krav (f.eks. et passord som må inneholde minst én bokstav og minst ett siffer, valgt fra et gitt tegnsett med repetisjon tillatt), og be dem telle antall gyldige utfall ved å bruke komplementprinsippet: totalt antall minus antall som bryter kravet."
telle-gruppering-i-delmengder,ferdighet,Kombinatorikk,Telle antall måter å gruppere en mengde personer i delgrupper,"Eleven kan telle antall måter en gruppe personer kan deles inn i delgrupper av gitte størrelser, både når delgruppene har en identitet (f.eks. bestemte rom) og når kun selve grupperingen (hvem som er sammen med hvem) teller.",telle-uordnet-utvalg-nCr,del2,"Gi eleven en situasjon der en gruppe personer skal deles inn i delgrupper av gitte størrelser (f.eks. fordeles på rom med ulik kapasitet), og be dem telle antall måter dette kan gjøres på − først når delgruppene har en identitet (bestemte rom), deretter (i en variant av oppgaven) når kun selve grupperingen teller."
sannsynlighet-grunnbegrep,begrep,Sannsynlighet,Sannsynlighet,"Eleven vet at sannsynligheten for en hendelse i et utfallsrom med like sannsynlige utfall er antall gunstige utfall delt på antall mulige utfall, og kjenner de grunnleggende reglene for sannsynlighet (mellom 0 og 1, komplement, union).",,del1,
sannsynlighet-med-kombinatorikk,ferdighet,Sannsynlighet,Regne ut sannsynlighet ved hjelp av kombinatorisk telling,"Eleven kan regne ut sannsynligheten for en hendelse ved å telle antall gunstige og antall mulige utfall ved hjelp av kombinasjoner (n over k), typisk ved trekning uten tilbakelegging fra en gruppe med flere kategorier.",sannsynlighet-grunnbegrep;telle-uordnet-utvalg-nCr,del2,"Gi eleven en situasjon der man trekker et gitt antall elementer uten tilbakelegging fra en gruppe sammensatt av flere kategorier (f.eks. drops av ulike farger), og be dem regne ut sannsynligheten for en gitt sammensetning av utvalget, ved å telle gunstige og mulige utfall med kombinasjoner."
sannsynlighet-produktsetning-uavhengige,ferdighet,Sannsynlighet,Multiplisere sannsynligheter for uavhengige eller sammenlignende hendelser,"Eleven kan regne ut sannsynligheten for en sammensatt hendelse som involverer flere uavhengige delhendelser (f.eks. flere terningkast, eller å sammenligne verdien på flere terninger), ved å multiplisere enkeltsannsynligheter og eventuelt summere over flere gunstige tilfeller.",sannsynlighet-grunnbegrep,del1,"Gi eleven en situasjon med flere uavhengige tilfeldige delhendelser (f.eks. flere terningkast som skal sammenlignes, eller flere svar på en flervalgsprøve som skal ha en bestemt kombinasjon av riktig/galt), og be dem regne ut sannsynligheten for det samlede utfallet, for hånd."
venn-komplement-sannsynlighet,ferdighet,Sannsynlighet,Bruke komplement og inklusjon-eksklusjon i sannsynlighetsregning,"Eleven kan regne ut sannsynligheten for at verken den ene eller den andre av to hendelser inntreffer, ved å bruke inklusjon-eksklusjon (antall i union) og komplementregelen.",sannsynlighet-grunnbegrep,del1,"Gi eleven informasjon om størrelsen på to overlappende grupper i en populasjon (f.eks. elever som har valgt to ulike fag, med et kjent antall som har valgt begge), og be dem regne ut sannsynligheten for at en tilfeldig person fra populasjonen ikke tilhører noen av gruppene."
betinget-sannsynlighet-flertrinn,ferdighet,Sannsynlighet,Regne ut sannsynlighet i et flertrinnsforsøk med avhengige valg,"Eleven kan regne ut sannsynligheten for et utfall i et forsøk som skjer i flere trinn der senere trinn avhenger av et tidligere valg (f.eks. et strategisk valg etterfulgt av en loddtrekning), ved å bryte forsøket opp i trinn og kombinere sannsynlighetene riktig.",sannsynlighet-produktsetning-uavhengige;telle-gruppering-i-delmengder,del2,"Gi eleven et flertrinns tilfeldig forsøk der ett trinn er et strategisk valg og et senere trinn er en tilfeldig fordeling som avhenger av dette valget (f.eks. et romvalg etterfulgt av loddtrekning av resten av en gruppe), og be dem regne ut sannsynligheten for et gitt sluttutfall."
stokastisk-variabel-begrep,begrep,Sannsynlighetsfordelinger og simulering,Stokastisk variabel,"Eleven vet at en stokastisk variabel er en variabel hvis verdi er utfallet av et tilfeldig forsøk, og at fordelingen til variabelen beskriver sannsynligheten for hver mulige verdi.",sannsynlighet-grunnbegrep,del1,
binomisk-fordeling-begrep,begrep,Sannsynlighetsfordelinger og simulering,Binomisk fordeling,"Eleven vet hva som kjennetegner en binomisk situasjon − et fast antall uavhengige forsøk, hver med samme sannsynlighet for suksess (f.eks. trekning med tilbakelegging) − og at antall suksesser da er binomisk fordelt.",stokastisk-variabel-begrep;sannsynlighet-produktsetning-uavhengige,del2,
hypergeometrisk-fordeling-begrep,begrep,Sannsynlighetsfordelinger og simulering,Hypergeometrisk fordeling,Eleven vet hva som kjennetegner en hypergeometrisk situasjon − en trekning uten tilbakelegging fra en endelig populasjon delt i to kategorier − og hvordan dette skiller seg fra en binomisk situasjon.,stokastisk-variabel-begrep;sannsynlighet-med-kombinatorikk,del2,
beregne-binomisk-sannsynlighet,ferdighet,Sannsynlighetsfordelinger og simulering,Beregne binomiske sannsynligheter med digitalt verktøy,"Eleven kan bruke digitalt verktøy til å regne ut binomiske sannsynligheter (f.eks. P(X ≥ k)), og bestemme det minste antallet forsøk som gjør at sannsynligheten for minst én suksess når en gitt terskel.",binomisk-fordeling-begrep,del2,"Gi eleven en binomisk situasjon (fast suksessannsynlighet, uavhengige forsøk) og be dem bruke digitalt verktøy til å regne ut en binomisk sannsynlighet, og/eller finne det minste antallet forsøk som gjør at sannsynligheten for minst én suksess er over en gitt terskel (f.eks. 50 %)."
