id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
regjering,begrep,Politikk og makt,Regjeringen,"Eleven vet hva regjeringens rolle er i det norske politiske systemet, og kjenner forholdet mellom regjering og Storting gjennom parlamentarismen.",storting,,
maktfordelingsprinsipp,begrep,Politikk og makt,Maktfordelingsprinsippet,"Eleven vet hva Montesquieus maktfordelingsprinsipp går ut på (lovgivende, utøvende og dømmende makt), og hvordan det kommer til uttrykk i Norge.",storting;regjering,,
politisk-parti,begrep,Politikk og makt,Politisk parti,"Eleven vet hva et politisk parti er, og hvilken funksjon partier har i et demokrati.",,,
politisk-ideologi,begrep,Politikk og makt,Politisk ideologi,"Eleven vet hva en politisk ideologi er, og kjenner hovedtrekkene ved liberalisme og sosialisme.",politisk-parti,,
interesseorganisasjon,begrep,Politikk og makt,Interesseorganisasjon,"Eleven vet hva en interesseorganisasjon er, og kan gi eksempler som fagforening, arbeidsgiverorganisasjon og miljøorganisasjon.",,,
lobbyisme,begrep,Politikk og makt,Lobbyisme,"Eleven vet hva lobbyisme er, og hvordan interesseorganisasjoner kan påvirke politiske beslutninger.",interesseorganisasjon,,
makt,begrep,Politikk og makt,Makt,"Eleven vet hva makt er i samfunnsfaglig forstand, og kan gi eksempler på ulike maktformer, som politisk makt, økonomisk makt og medienes makt.",,,
forklare-parlamentarisme,ferdighet,Politikk og makt,Forklare sammenhengen mellom Storting og regjering,"Eleven kan forklare hvordan parlamentarismen fungerer i praksis, og hva som skjer dersom regjeringen mister flertallet i Stortinget bak seg.",regjering;maktfordelingsprinsipp,,
sammenligne-ideologier,ferdighet,Politikk og makt,Sammenligne politiske ideologier,"Eleven kan sammenligne liberalisme og sosialisme som politiske ideologier, med eksempler fra norsk politikk.",politisk-ideologi,,
analysere-maktbruk,ferdighet,Politikk og makt,Analysere hvordan utøving av makt påvirker samfunnet,"Eleven kan analysere et konkret eksempel på maktbruk, politisk, økonomisk eller medial, og forklare hvordan den påvirker enkeltpersoner og samfunnet.",makt,,
drofte-lobbyisme,ferdighet,Politikk og makt,Drøfte lobbyismens rolle i demokratiet,"Eleven kan drøfte om lobbyisme styrker eller svekker demokratiet, med norske eksempler.",lobbyisme;sammenligne-ideologier,,
vurdere-maktutovelse,ferdighet,Politikk og makt,Vurdere hvordan utøving av makt påvirker samfunnet,"Eleven kan vurdere hvordan utøving av makt påvirker enkeltpersoner og samfunn, og bruke eksempler fra norsk politikk til å underbygge vurderingen.",analysere-maktbruk;forklare-parlamentarisme,,
sosialisering,begrep,Identitet og sosialisering,Sosialisering,"Eleven vet hva sosialisering er, og hvorfor det regnes som en livslang prosess.",,,
primaersosialisering,begrep,Identitet og sosialisering,Primærsosialisering,"Eleven vet hva primærsosialisering er, og hvem som vanligvis står for den.",sosialisering,,
sekundaersosialisering,begrep,Identitet og sosialisering,Sekundærsosialisering,"Eleven vet hva sekundærsosialisering er, og kan gi eksempler på arenaer der den skjer, som skole, venner og sosiale medier.",sosialisering,,
identitet,begrep,Identitet og sosialisering,Identitet,"Eleven vet hva identitet er, og skiller mellom individuell og sosial/kollektiv identitet.",,,
selvfolelse,begrep,Identitet og sosialisering,Selvfølelse,"Eleven vet hva selvfølelse er, og hvordan det skiller seg fra selvtillit.",,,
norm,begrep,Identitet og sosialisering,Norm,"Eleven vet hva en norm er, og skiller mellom formelle og uformelle normer.",,,
verdi,begrep,Identitet og sosialisering,Verdi (samfunnsfaglig),"Eleven vet hva en verdi er i samfunnsfaglig forstand, og kan gi eksempler på verdier som kan stå i konflikt med hverandre.",,,
grensesetting,begrep,Identitet og sosialisering,Grensesetting,"Eleven vet hva grensesetting innebærer, og hvorfor det er relevant i spørsmål om kropp og seksualitet.",,,
samtykke,begrep,Identitet og sosialisering,Samtykke,"Eleven vet hva samtykke betyr i sammenheng med kropp og seksualitet, og hvorfor det er en forutsetning i norsk lov.",grensesetting,,
forklare-sosialiseringens-pavirkning,ferdighet,Identitet og sosialisering,Forklare hvordan sosialisering påvirker identitet,"Eleven kan forklare hvordan primær- og sekundærsosialisering påvirker hvordan en ung person utvikler identitet og selvfølelse.",primaersosialisering;sekundaersosialisering;identitet;selvfolelse,,
analysere-normendring,ferdighet,Identitet og sosialisering,Analysere hvordan normer endrer seg over tid,"Eleven kan analysere hvordan en norm har endret seg over tid, med et konkret eksempel.",norm,,
"forklare-lover-kjonn-seksualitet",ferdighet,Identitet og sosialisering,"Forklare verdier, normer og lover om kjønn, seksualitet og kropp","Eleven kan forklare hvilke verdier, normer og lover som gjelder for kjønn, seksualitet og kropp i Norge, inkludert reglene om samtykke.",verdi;norm;samtykke,,
drofte-sosialisering-identitet,ferdighet,Identitet og sosialisering,Drøfte hvordan sosialisering påvirker ungdoms identitet,"Eleven kan drøfte hvordan identiteten og selvfølelsen til ungdom blir påvirket gjennom sosialisering, med egne eksempler.",forklare-sosialiseringens-pavirkning,,
drofte-grensesetting,ferdighet,Identitet og sosialisering,Drøfte utfordringer knyttet til grensesetting,"Eleven kan reflektere over utfordringer i forbindelse med grensesetting, og drøfte ulike verdier, normer og lover som gjelder kjønn, seksualitet og kropp.",forklare-lover-kjonn-seksualitet;analysere-normendring,,
sosial-ulikhet,begrep,Mangfold og ulikhet,Sosial ulikhet,"Eleven vet hva sosial ulikhet innebærer, og kan nevne ulike former for det, som økonomisk, sosial og helsemessig ulikhet.",,,
utenforskap,begrep,Mangfold og ulikhet,Utenforskap,"Eleven vet hva utenforskap betyr, og kan gi eksempler på hvordan det kan oppstå.",sosial-ulikhet,,
majoritet-minoritet,begrep,Mangfold og ulikhet,Majoritet og minoritet,Eleven vet hva som menes med majoritet og minoritet i et samfunn.,,,
nasjonal-minoritet,begrep,Mangfold og ulikhet,Nasjonal minoritet,"Eleven vet hva en nasjonal minoritet er, og kan nevne Norges anerkjente nasjonale minoriteter.",majoritet-minoritet,,
urfolk,begrep,Mangfold og ulikhet,Urfolk,"Eleven vet hva urfolk betyr, og hvorfor samene er anerkjent som urfolk i Norge.",majoritet-minoritet,,
kultur,begrep,Mangfold og ulikhet,Kultur,"Eleven vet hva kultur er i samfunnsfaglig forstand, og kan gi eksempler på ulike kulturuttrykk.",,,
kartlegge-sosial-ulikhet,ferdighet,Mangfold og ulikhet,Innhente informasjon om sosial ulikhet i Norge,"Eleven kan innhente og presentere informasjon om ulike former for sosial ulikhet i Norge, med relevante kilder.",sosial-ulikhet,,
sammenligne-majoritet-minoritet,ferdighet,Mangfold og ulikhet,Sammenligne kulturuttrykk og levesett hos majoritet og minoritet,"Eleven kan sammenligne likheter og ulikheter i kulturuttrykk, identitet og levesett mellom majoritetsbefolkningen og en minoritetsgruppe i Norge, inkludert samene.",nasjonal-minoritet;urfolk;kultur,,
drofte-ulikhet-utenforskap,ferdighet,Mangfold og ulikhet,Drøfte sammenhengen mellom ulikhet og utenforskap,"Eleven kan drøfte sammenhengen mellom sosial ulikhet og utenforskap, med utgangspunkt i innhentet informasjon.",kartlegge-sosial-ulikhet;utenforskap,,
drofte-majoritet-minoritet,ferdighet,Mangfold og ulikhet,Drøfte forholdet mellom majoritet og minoritet i Norge,"Eleven kan reflektere over likheter og ulikheter i kulturuttrykk, identitet og levesett innenfor og mellom majoritet og minoritet i Norge og Sápmi.",sammenligne-majoritet-minoritet,,
arbeidsliv,begrep,Arbeidsliv og samfunnsmodellen,Arbeidsliv,"Eleven vet hva som menes med arbeidslivet, og kan gi eksempler på hvordan det er organisert i Norge.",,,
arbeidsmarked,begrep,Arbeidsliv og samfunnsmodellen,Arbeidsmarked,"Eleven vet hva arbeidsmarkedet er, og kjenner forholdet mellom tilbud av og etterspørsel etter arbeidskraft.",tilbud-ettersporsel,,
arbeidsledighet,begrep,Arbeidsliv og samfunnsmodellen,Arbeidsledighet,"Eleven vet hva arbeidsledighet er, og hvordan den måles.",arbeidsmarked,,
trepartssamarbeid,begrep,Arbeidsliv og samfunnsmodellen,Trepartssamarbeidet,"Eleven vet hva den norske modellens trepartssamarbeid er, og kjenner de tre partene: stat, arbeidsgiver og arbeidstaker.",interesseorganisasjon,,
nordisk-samfunnsmodell,begrep,Arbeidsliv og samfunnsmodellen,Den nordiske samfunnsmodellen,"Eleven vet hva som kjennetegner den nordiske samfunnsmodellen, som velferdsstat, organisert arbeidsliv og høy tillit.",trepartssamarbeid,,
naeringsgrunnlag,begrep,Arbeidsliv og samfunnsmodellen,Næringsgrunnlag,"Eleven vet hva næringsgrunnlag betyr, og kan gi eksempler på ulike næringer i Norge.",,,
innovasjon,begrep,Arbeidsliv og samfunnsmodellen,Innovasjon,"Eleven vet hva innovasjon er, og kan gi eksempler på hvordan innovasjon kan endre et lokalsamfunn.",,,
gigokonomi,begrep,Arbeidsliv og samfunnsmodellen,Gigøkonomi,"Eleven vet hva gigøkonomi er, og hvordan den skiller seg fra et tradisjonelt ansettelsesforhold.",arbeidsliv,,
beskrive-endring-arbeidsliv,ferdighet,Arbeidsliv og samfunnsmodellen,Beskrive hvordan organiseringen av arbeidslivet har endret seg,Eleven kan utforske og beskrive hvordan organiseringen av samfunnet og arbeidslivet i Norge har endret seg over tid.,arbeidsliv;arbeidsmarked,,
analysere-trepartssamarbeid,ferdighet,Arbeidsliv og samfunnsmodellen,Analysere trepartssamarbeidet i dagens arbeidsliv,"Eleven kan analysere den norske modellens trepartssamarbeid, og drøfte om modellen er tilpasset et moderne arbeidsliv med gigøkonomi og selvstendig næringsdrivende.",trepartssamarbeid;gigokonomi,,
analysere-arbeidsledighet,ferdighet,Arbeidsliv og samfunnsmodellen,Analysere årsaker til og konsekvenser av arbeidsledighet,"Eleven kan drøfte årsaker til og konsekvenser av arbeidsledighet, med eksempler fra Norge.",arbeidsledighet,,
forklare-teknologi-lokalsamfunn,ferdighet,Arbeidsliv og samfunnsmodellen,Forklare hvordan næringsliv og teknologi påvirker lokalsamfunn,"Eleven kan forklare hvordan næringsgrunnlag, innovasjon og teknologi former og påvirker arbeidsliv og lokalsamfunn i Norge, med et konkret eksempel.",naeringsgrunnlag;innovasjon,,
drofte-samfunnsmodell-utfordringer,ferdighet,Arbeidsliv og samfunnsmodellen,Drøfte hvordan den nordiske samfunnsmodellen møter dagens utfordringer,"Eleven kan drøfte hvordan den nordiske samfunnsmodellen møter utfordringer enkeltpersoner og samfunnet står overfor, og bruke funn fra egen utforsking av endringer i arbeidslivet.",beskrive-endring-arbeidsliv;analysere-trepartssamarbeid;analysere-arbeidsledighet;nordisk-samfunnsmodell,,
drofte-naeringsliv-teknologi,ferdighet,Arbeidsliv og samfunnsmodellen,Drøfte hvordan næringsliv og teknologi former arbeidsliv og lokalsamfunn,"Eleven kan utforske og drøfte hvordan næringsgrunnlag, innovasjon og teknologi former og påvirker arbeidsliv og lokalsamfunn i Norge.",forklare-teknologi-lokalsamfunn,,
bruttoinntekt,begrep,Personlig økonomi og forbruk,Bruttoinntekt,Eleven vet hva bruttoinntekt er.,,,
nettoinntekt,begrep,Personlig økonomi og forbruk,Nettoinntekt,"Eleven vet hva nettoinntekt er, og hva som trekkes fra bruttoinntekten.",bruttoinntekt,,
disponibel-inntekt,begrep,Personlig økonomi og forbruk,Disponibel inntekt,"Eleven vet hva disponibel inntekt er, og hvordan den skiller seg fra nettoinntekt.",nettoinntekt,,
forbruk,begrep,Personlig økonomi og forbruk,Forbruk,"Eleven vet hva forbruk er, og skiller mellom nødvendig og valgfritt forbruk.",,,
kommersiell-pavirkning,begrep,Personlig økonomi og forbruk,Kommersiell påvirkning,"Eleven vet hva kommersiell påvirkning er, og kan gi eksempler på hvordan reklame og markedsføring forsøker å påvirke forbrukere.",,,
privatokonomisk-budsjett,begrep,Personlig økonomi og forbruk,Privatøkonomisk budsjett,"Eleven vet hva et privatøkonomisk budsjett er, og hvorfor det er nyttig å sette opp et.",disponibel-inntekt;forbruk,,
forklare-lonnsslipp,ferdighet,Personlig økonomi og forbruk,Forklare hva som trekkes fra lønnen,"Eleven kan forklare hva som trekkes fra bruttoinntekten på en lønnsslipp, og regne ut disponibel inntekt gitt bruttoinntekt og faste trekk.",disponibel-inntekt,,
analysere-kommersiell-pavirkning,ferdighet,Personlig økonomi og forbruk,Analysere hvordan kommersiell påvirkning styrer forbruk,"Eleven kan analysere et konkret eksempel på reklame eller markedsføring, og forklare hvordan den forsøker å påvirke forbrukeren.",kommersiell-pavirkning;forbruk,,
drofte-okonomi-forbruk-samfunn,ferdighet,Personlig økonomi og forbruk,Drøfte hvordan personlig økonomi og forbruk påvirker samfunnet,"Eleven kan drøfte hvordan personlig økonomi, kommersiell påvirkning og forbruk påvirker enkeltpersoner, grupper og samfunnet.",forklare-lonnsslipp;analysere-kommersiell-pavirkning;privatokonomisk-budsjett,,
statsbudsjett,begrep,Samfunnsøkonomi og bærekraft,Statsbudsjettet,"Eleven vet hva statsbudsjettet er og hva det brukes til, og kan nevne noen av de største utgiftspostene.",,,
skatt,begrep,Samfunnsøkonomi og bærekraft,Skatt og avgifter,"Eleven vet forskjellen på skatt og avgift, og hva progressiv beskatning innebærer.",,,
velferdsstat,begrep,Samfunnsøkonomi og bærekraft,Velferdsstat,"Eleven vet hva en velferdsstat er, og kan gi eksempler på velferdsordninger i Norge.",skatt,,
tilbud-ettersporsel,begrep,Samfunnsøkonomi og bærekraft,Tilbud og etterspørsel,"Eleven vet hva prinsippene om tilbud og etterspørsel går ut på, og hvordan de påvirker prisen på en vare.",,,
okonomisk-vekst,begrep,Samfunnsøkonomi og bærekraft,Økonomisk vekst,"Eleven vet hva økonomisk vekst er, og hvordan det vanligvis måles, gjennom bruttonasjonalprodukt (BNP).",,,
levestandard,begrep,Samfunnsøkonomi og bærekraft,Levestandard,Eleven vet hva levestandard er.,okonomisk-vekst,,
livskvalitet,begrep,Samfunnsøkonomi og bærekraft,Livskvalitet,"Eleven vet hva livskvalitet er, og hvordan det skiller seg fra levestandard.",levestandard,,
baerekraftig-utvikling,begrep,Samfunnsøkonomi og bærekraft,Bærekraftig utvikling,"Eleven vet hva bærekraftig utvikling er, og kjenner de tre dimensjonene: økonomisk, sosial og miljømessig.",,,
forklare-prisdannelse,ferdighet,Samfunnsøkonomi og bærekraft,Forklare hvordan prisen på en vare bestemmes,Eleven kan bruke prinsippene om tilbud og etterspørsel til å forklare hvordan prisen på en konkret vare bestemmes.,tilbud-ettersporsel,,
forklare-progressiv-beskatning,ferdighet,Samfunnsøkonomi og bærekraft,Forklare hvorfor Norge har progressiv beskatning,"Eleven kan forklare hva statsbudsjettet finansierer, og drøfte kort hvorfor Norge har et progressivt skattesystem.",statsbudsjett;skatt,,
sammenligne-vekst-livskvalitet,ferdighet,Samfunnsøkonomi og bærekraft,Sammenligne økonomisk vekst med livskvalitet,"Eleven kan sammenligne hvordan økonomisk vekst, levestandard og livskvalitet henger sammen, og gi eksempler på at høy vekst ikke alltid gir høyere livskvalitet.",levestandard;livskvalitet,,
drofte-velferdsstatens-baerekraft,ferdighet,Samfunnsøkonomi og bærekraft,Drøfte om den norske velferdsstaten er bærekraftig,"Eleven kan drøfte om den norske velferdsstaten er bærekraftig på lang sikt, med demografiske og økonomiske argumenter.",velferdsstat;forklare-progressiv-beskatning,,
drofte-vekst-baerekraft,ferdighet,Samfunnsøkonomi og bærekraft,Drøfte sammenhengen mellom økonomisk vekst og bærekraft,"Eleven kan drøfte sammenhengen mellom økonomisk vekst, levestandard og livskvalitet i et globalt og bærekraftig perspektiv.",sammenligne-vekst-livskvalitet;baerekraftig-utvikling,,
fn,begrep,Internasjonale forhold,FN,"Eleven vet hva FN er, og kan nevne FNs viktigste organer, som Generalforsamlingen og Sikkerhetsrådet.",,,
vetorett,begrep,Internasjonale forhold,Vetorett,"Eleven vet hva vetoretten i Sikkerhetsrådet innebærer, og hvilke land som har den.",fn,,
menneskerettigheter,begrep,Internasjonale forhold,Menneskerettigheter,"Eleven vet hva grunnlaget for menneskerettighetene er, og hva FNs menneskerettighetserklæring er.",fn,,
eu-eos,begrep,Internasjonale forhold,EU og EØS,"Eleven vet hva EU er, og hva EØS-avtalen innebærer for Norge.",,,
nato,begrep,Internasjonale forhold,NATO,"Eleven vet hva NATO er, og hva artikkel 5 innebærer.",,,
konflikt,begrep,Internasjonale forhold,Konflikt,"Eleven vet hva som kjennetegner en konflikt i samfunnsfaglig forstand, og skiller mellom lokale, nasjonale og globale konflikter.",,,
utenrikspolitikk,begrep,Internasjonale forhold,Utenrikspolitikk,Eleven vet hva utenrikspolitikk er.,,,
forklare-menneskerettighetsbrudd,ferdighet,Internasjonale forhold,Gi eksempler på brudd på menneskerettighetene,"Eleven kan gi eksempler på brudd på menneskerettighetene, nasjonalt eller globalt, og forklare hvorfor det regnes som et brudd.",menneskerettigheter,,
forklare-nato-sikkerhet,ferdighet,Internasjonale forhold,Forklare hvorfor NATO er viktig for Norges sikkerhet,"Eleven kan forklare hva NATO er og hva artikkel 5 innebærer, og forklare hvorfor NATO er viktig for norsk sikkerhetspolitikk.",nato,,
analysere-konflikt,ferdighet,Internasjonale forhold,Analysere årsakene til en internasjonal konflikt,"Eleven kan analysere årsakene til en pågående internasjonal konflikt, og forklare hvilken rolle internasjonale organisasjoner spiller i den.",konflikt;fn,,
forklare-eos-konsekvenser,ferdighet,Internasjonale forhold,Forklare fordeler og ulemper ved EØS-avtalen,"Eleven kan forklare hva EØS-avtalen innebærer for Norge, og nevne fordeler og ulemper ved denne tilknytningsformen.",eu-eos,,
utforske-konflikt-grupper,ferdighet,Internasjonale forhold,Utforske en konflikt og hvordan den påvirker ulike grupper,"Eleven kan utforske en utfordring eller konflikt på lokalt, nasjonalt eller globalt nivå, og drøfte hvordan den påvirker forskjellige grupper.",analysere-konflikt,,
drofte-menneskerettigheter-handhevelse,ferdighet,Internasjonale forhold,Drøfte utfordringer med å håndheve menneskerettighetene,"Eleven kan gjøre rede for grunnlaget for menneskerettighetene, og drøfte utfordringer med å håndheve dem internasjonalt, med egne eksempler på brudd.",forklare-menneskerettighetsbrudd,,
drofte-norsk-utenrikspolitikk,ferdighet,Internasjonale forhold,Drøfte hva som kjennetegner norsk utenrikspolitikk,"Eleven kan drøfte hva som kjennetegner norsk utenrikspolitikk, og vurdere om Norge lever opp til sin rolle som «fredsnasjon».",utenrikspolitikk;forklare-nato-sikkerhet;forklare-eos-konsekvenser,,
